彈性學習專區,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_1002_2_ec7fe27d01ceac4724305d4015a91050097a568&maximize=1&allbtn=0
輔導處,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_16_2_1f1a8dab2bb6e892dbec74aaa7c18a46a012f3cf&maximize=1&allbtn=0
人事室,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_17_2_c0fce14baad18ad1a726daae44a03dffcc067d2d&maximize=1&allbtn=0
教師甄試線上報名,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_982_2_6db606122b05e88bd9a212f7d5dc41ec3482e244&maximize=1&allbtn=0
會計室,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_18_2_c8159c1f1edc40e01778bf8540cef86ee50794d9&maximize=1&allbtn=0
家長會,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_19_2_48810c149e93841d5065e11280a742c94fff1ec8&maximize=1&allbtn=0
服務學習(志工)平台,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_990_2_2ee202cb768638dfc5bd01f5f1993316c40bf385&maximize=1&allbtn=0
國際教育專區,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_1004_2_04360235b33405de783c5a6614a57ea9a14534f&maximize=1&allbtn=0
員生消費合作社,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_157_2_c52f2a4d142f5b2534b5e795d1bcdad3db2d864b&maximize=1&allbtn=0
,
!中投考區104年國中教育會考試務會,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_57&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
新生報到專區,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_148&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
!臺灣南區112年舞蹈班聯招,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_89&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
文華高中,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_12&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
資訊媒體組,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_55&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
!104高階領培營,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_147&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
校長室,field=time&order=DESC&pageNum=0&maxRows=20&keyword=&flock=unit_1&uid=WID_0_2_518cd2a7e52b7f65fc750eded8b99ffcc2a7daca&tf=1&auth_type=user
,
#線上報名系統(bid in 0-99),
教學組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=0
試務組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=3
教學組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=4
註冊組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=5
設備組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=6
試務組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=8
庶務組2,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=12
讀者服務組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=15
輔導處,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=16
管理者,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=31
體育組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=36
試務組,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=53
王怡珽,https://web.whsh.tc.edu.tw/ischool/public/volunteer/index.php?bid=55
,
#國文科,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_23_2_26174b957dfe7921d59df202e279cfc43cc332e0&maximize=1&allbtn=0
國文科-活動成果,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_23_2_b3e1093c25b3f990999730f9793f3f5fdd412c26&maximize=1&allbtn=0
英文科,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_24_2_ebeeb1bb955cc6e252e344415752397231683d0d&maximize=1&allbtn=0
社會科,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_25_2_edb6a6e2961a2f45139a5f50bb60d9ef7f44ead6&maximize=1&allbtn=0
社會科-活動成果,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_25_2_f76f39a768204ce4f18d09dad62ee1da3408b5d2&maximize=1&allbtn=0
自然科,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_26_2_cc15736b98b1bfb9204ff202ee3e066d62f6ca06&maximize=1&allbtn=0
自然科-活動成果,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_26_2_f701070e1515a73818712bcccfe9df3af2e96af6&maximize=1&allbtn=0
藝能科,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_28_2_bcbf9383f1b5c362bc72abda72ed416d9918184f&maximize=1&allbtn=0
高一音樂,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_185_2_31f99fe7f467362a0ae6fe0945205420e6144047&maximize=1&allbtn=0
教師會,https://web.whsh.tc.edu.tw/ischool/widget/site_news/main2.php?uid=WID_21_2_6e06e9a6b980ca2c141c0390b4ce420067ea2910&maximize=1&allbtn=0
,
!學生團膳專區,https://whshlunch.blogspot.com/
